Nissan Almera,Nissan Sunny
Nissan Almera,Nissan
Nissan Almera,Nissan Sentra
Nissan Almera,Compact car
Nissan Almera,C-segment
Nissan Almera,Subcompact car
Nissan Almera,compact car
North Jakarta,Daihatsu Charmant
United States,light truck
United States,California
United States,California English
United States,North American English
United States,spacecraft
United States,petrochemical
United States,Public company
fractional distillation,Diesel fuel
fractional distillation,Gasoline
hyperbole,List of best-selling automobiles
hyperbole,exaggeration
hyperbole,rhetorical device
hyperbole,figure of speech
hyperbole,rhetoric
hyperbole,auxesis (rhetoric)
Soyuz TMA,spacecraft
Soyuz TMA,International Space Station
hydrogen fuel,liquid fuel
Internal combustion engine,diesel engine
Internal combustion engine,fuel
Internal combustion engine,kinetic energy
Internal combustion engine,vehicle
Internal combustion engine,aircraft
Geo Prizm,Holden Nova
Geo Prizm,Subcompact car
Geo Prizm,Compact car
Geo Prizm,Toyota Sprinter
Geo Prizm,Toyota
Geo Prizm,Toyota Corolla
pedelec,electric bicycle
pedelec,Bicycle frame
pedelec,electric motor
Vehicle,car
Vehicle,spacecraft
Vehicle,aircraft
Vehicle,California
Vehicle,Bicycle
Vehicle,electric bicycle
Vehicle,Car
Flying Pigeon,Bicycle
lubricating oil,Diesel fuel
lubricating oil,Lubricant
Bicycle,Human-powered transport
Bicycle,motorized bicycle
Bicycle,Bicycle frame
Bicycle,Bicycle wheel
Bicycle,electric bicycle
Bicycle,car
Bicycle,vehicle
motorized bicycle,electric bicycle
Atmosphere of Earth,aircraft
Atmosphere of Earth,International Space Station
Atmosphere of Earth,outer space
Toyota,Toyota Corolla
Toyota,Public company
Toyota,Nikkei 225
Toyota,TOPIX
Toyota,Kiichiro Toyoda
Toyota,Akio Toyoda
Toyota,Toyota Sprinter
Toyota,Toyota Auris
Toyota,Automotive industry
Toyota,Car
Toyota,Daihatsu
Toyota,List of best-selling automobiles
Toyota,Daihatsu Consorte
Toyota,Holden Nova
Toyota,Astra Daihatsu Motor
Toyota,Nissan
Toyota,Holden
Toyota,Toyota Probox
Toyota,Toyota Corolla (E120)
Spanish language in California,California
Spanish language in California,Californio
Languages of California,California
Energy transformation,diesel engine
Daihatsu Consorte,Daihatsu Charmant
Daihatsu Consorte,Daihatsu
rhetorical device,rhetoric
rhetorical device,exaggeration
Energies (journal),electric bicycle
compact car,Toyota Sprinter
compact car,Toyota Corolla
compact car,Nissan Sentra
compact car,C-segment
compact car,Holden Nova
compact car,Toyota Auris
compact car,Subcompact car
compact car,Daihatsu
compact car,Daihatsu Applause
compact car,Toyota Corolla (E120)
Toyota Corolla,car
Toyota Corolla,Toyota Sprinter
Toyota Corolla,Toyota Auris
Toyota Corolla,Daihatsu Charmant
Toyota Corolla,Holden Nova
Toyota Corolla,Subcompact car
Toyota Corolla,Compact car
Toyota Corolla,List of best-selling automobiles
Toyota Corolla,Nissan Sunny
Toyota Corolla,Nissan Sentra
Toyota Corolla,Toyota Probox
Toyota Corolla,Car
Toyota Corolla,Toyota Corolla (E120)
Toyota Sprinter,Toyota Allex
Toyota Sprinter,Toyota Probox
Toyota Sprinter,Holden Nova
Toyota Sprinter,Daihatsu Charmant
automotive,liquid fuel
automotive,Automotive industry
flammable liquid,Gasoline
Holden Nova,Holden
Holden Nova,Toyota Tazz
Holden Nova,Compact car
Compact car,Toyota Auris
Compact car,Nissan Sentra
Compact car,C-segment
Compact car,Nissan Sunny
Compact car,Daihatsu Applause
Compact car,Toyota Corolla (E120)
internal combustion engine,Diesel fuel
internal combustion engine,fuel
internal combustion engine,kinetic energy
internal combustion engine,vehicle
internal combustion engine,aircraft
internal combustion engine,car
internal combustion engine,Gasoline
internal combustion engine,diesel engine
internal combustion engine,Daihatsu
internal combustion engine,Car
California English,California
California English,North American English
car,List of best-selling automobiles
car,Petrol
car,Diesel fuel
car,Benz Patent-Motorwagen
car,vehicle
fuel,Gasoline
fuel,mechanical energy
North American English,Gasoline
spacecraft,Soyuz (spacecraft)
spacecraft,International Space Station
spacecraft,spaceflight
spacecraft,outer space
spacecraft,vehicle
spacecraft,flight
light truck,List of best-selling automobiles
light truck,vehicle
light truck,gross vehicle weight
light truck,Cargo
light truck,goods vehicle
California Office of Legislative Counsel,California
kinetic energy,liquid fuel
kinetic energy,mechanical energy
Automotive industry,diesel engine
Automotive industry,Astra Daihatsu Motor
Automotive industry,Nissan
Automotive industry,Holden
Automotive industry,Daihatsu
Buoyancy,aircraft
Applied Energy,electric bicycle
List of best-selling automobiles,Benz Patent Motorwagen
List of best-selling automobiles,automobile
List of best-selling automobiles,Nissan Sunny
List of best-selling automobiles,Car
C-segment,Toyota Auris
C-segment,Daihatsu Applause
outer space,spaceflight
outer space,flight
California,Californio
California,vehicle
Daihatsu Charmant,Daihatsu
Daihatsu Charmant,Astra Daihatsu Motor
Daihatsu Charmant,Daihatsu Applause
Daihatsu Charmant,Subcompact car
Toyota Allex,Toyota Auris
Astra Daihatsu Motor,Daihatsu
Astra Daihatsu Motor,automobile
vehicle,aircraft
vehicle,electric bicycle
vehicle,Car
Nissan,Nissan Sunny
Nissan,Public company
Nissan,Nikkei 225
Nissan,TOPIX
Nissan,Nissan Sentra
Nissan,Holden
petrochemical,Gasoline
Toyota Auris,Toyota Corolla (E120)
figure of speech,rhetoric
figure of speech,exaggeration
flight,aircraft
flight,spaceflight
spaceflight,International Space Station
List of most-produced aircraft,aircraft
Nissan Sunny,Aichi Kikai
Nissan Sunny,Nissan Sentra
Nissan Sunny,Subcompact car
International Space Station,Soyuz (spacecraft)
Gasoline,Petrol
Gasoline,English in the Commonwealth of Nations
liquid fuel,Diesel fuel
liquid fuel,mechanical energy
liquid fuel,fossil fuels
Subcompact car,Nissan Sentra
diesel engine,Diesel fuel
Diesel fuel,Car
Petrol,Car
Akio Toyoda,Kiichiro Toyoda
Nikkei 225,TOPIX
Daihatsu,Toyota Probox
Daihatsu,Daihatsu Applause
Benz Patent-Motorwagen,Benz Patent Motorwagen
Benz Patent-Motorwagen,automobile
Benz Patent-Motorwagen,Car
mechanical energy,electric motor
automobile,Car
electric bicycle,electric motor
