Gabriel Bibron,Pleurodira
Gabriel Bibron,Paris
Gabriel Bibron,species
Gabriel Bibron,André Marie Constant Duméril
Gabriel Bibron,Aldabra giant tortoise
Global Boundary Stratotype Section and Point,First appearance datum
Global Boundary Stratotype Section and Point,geologic time scale
Global Boundary Stratotype Section and Point,International Commission on Stratigraphy
Global Boundary Stratotype Section and Point,International Union of Geological Sciences
vertebra,cervical vertebrae
States of Germany,Baden-Württemberg
States of Germany,Germany
States of Germany,Berlin
States of Germany,Stuttgart
geologic time scale,First appearance datum
geologic time scale,geology
geologic time scale,geologist
geologic time scale,fossil
geologic time scale,International Commission on Stratigraphy
geologic time scale,International Union of Geological Sciences
geologic time scale,Late Jurassic
Johann Friedrich Gmelin,Common box turtle
Johann Friedrich Gmelin,Tübingen
Johann Friedrich Gmelin,Holy Roman Empire
Johann Friedrich Gmelin,Göttingen
Johann Friedrich Gmelin,Electorate of Brunswick-Lüneburg
Johann Friedrich Gmelin,Philipp Friedrich Gmelin
Johann Friedrich Gmelin,Germany
Johann Friedrich Gmelin,Carl Linnaeus
Landtag of Baden-Württemberg,Baden-Württemberg
Landtag of Baden-Württemberg,Stuttgart
King's College London,Thomas Bell (zoologist)
King's College London,Guy's Hospital
Cryptodira,turtle
Cryptodira,Aldabra giant tortoise
Cryptodira,Edward Drinker Cope
Cryptodira,cervical vertebrae
Cryptodira,Emydidae
Cryptodira,suborder
Cryptodira,Pleurodira
neck,cervical vertebrae
neck,Atlas (anatomy)
Amiens,André Marie Constant Duméril
Amiens,Paris
International Commission on Stratigraphy,Middle Triassic
International Commission on Stratigraphy,International nongovernmental organization
International Commission on Stratigraphy,International Union of Geological Sciences
International Commission on Stratigraphy,subcommittee
International Commission on Stratigraphy,stratigraphy
International Commission on Stratigraphy,geology
International Commission on Stratigraphy,Late Jurassic
Species Plantarum,10th edition of Systema Naturae
Species Plantarum,Carl Linnaeus
Species Plantarum,species
Species Plantarum,genus
Species Plantarum,binomial nomenclature
lithostratigraphy,Muschelkalk
lithostratigraphy,stratigraphy
lithostratigraphy,geology
lithostratigraphy,Late Jurassic
Paleontology,First appearance datum
Paleontology,Edward Drinker Cope
Paleontology,fossil
Paleontology,organism
Paleontology,geology
Paleontology,Dorset
Gregorian calendar,Carl Linnaeus
Gregorian calendar,Julian calendar
Gregorian calendar,Swedish calendar
fossil,First appearance datum
fossil,species
fossil,genus
Råshult,Carl Linnaeus
Batsch,turtle
Batsch,August Batsch
International Union of Geological Sciences,Paris
International Union of Geological Sciences,geology
Edward Drinker Cope,Pleurodira
Edward Drinker Cope,United States Geological Survey
Edward Drinker Cope,Haverford College
Edward Drinker Cope,University of Pennsylvania
Philipp Friedrich Gmelin,Tübingen
Philipp Friedrich Gmelin,Germany
Jena,August Batsch
Jena,Germany
nomen nudum,Aldabra giant tortoise
Paris,André Marie Constant Duméril
Paris,European Union
Paris,Kingdom of France
Paris,August Friedrich Schweigger
Paris,Alexander Roslin
Swedish calendar,Carl Linnaeus
Swedish calendar,Julian calendar
Stuttgart,Baden-Württemberg
Stuttgart,Germany
Stuttgart,Berlin
Stuttgart,European Union
Stuttgart,Tübingen
Reproduction,species
Reproduction,organism
Haverford College,University of Pennsylvania
Carl Linnaeus,Common box turtle
Carl Linnaeus,Alexander Roslin
Carl Linnaeus,Julian calendar
Carl Linnaeus,10th edition of Systema Naturae
Carl Linnaeus,binomial nomenclature
Carl Linnaeus,animal
Kingdom of France,André Marie Constant Duméril
Kingdom of France,Holy Roman Empire
First appearance datum,Middle Triassic
First appearance datum,geologist
First appearance datum,Late Jurassic
André Marie Constant Duméril,Pleurodira
André Marie Constant Duméril,Aldabra giant tortoise
10th edition of Systema Naturae,Common box turtle
10th edition of Systema Naturae,zoological nomenclature
10th edition of Systema Naturae,binomial nomenclature
10th edition of Systema Naturae,animal
rock strata,Muschelkalk
European Union,Germany
European Union,Berlin
species,Common box turtle
species,genus
species,organism
species,sex
species,mating type
species,binomial nomenclature
species,zoological nomenclature
species,August Friedrich Schweigger
species,animal
species,Emydidae
species,John Edward Gray
species,Aldabra giant tortoise
species,turtle
stratigraphy,geology
stratigraphy,sedimentary rock
stratigraphy,Muschelkalk
Pleurodira,turtle
Pleurodira,Late Jurassic
Pleurodira,Eastern long-necked turtle
Redcliff Point,Late Jurassic
Redcliff Point,England
Redcliff Point,Dorset
Redcliff Point,geology
August Friedrich Schweigger,Aldabra giant tortoise
August Friedrich Schweigger,Berlin
August Friedrich Schweigger,turtle
Axis (anatomy),cervical vertebrae
Axis (anatomy),Atlas (anatomy)
Eastern long-necked turtle,Turtle Taxonomy Working Group
Eastern long-necked turtle,Chelodina
tetrapod,cervical vertebrae
tetrapod,animal
tetrapod,turtle
sex,organism
sex,mating type
animal,organism
Tübingen,Baden-Württemberg
Tübingen,Germany
Beauval Zoo,Aldabra giant tortoise
Cardioceras,Late Jurassic
Germany,Middle Triassic
Germany,Baden-Württemberg
Germany,Das Lied der Deutschen
Germany,Bundespräsidialamt
Germany,Berlin
Germany,Bonn
Germany,Holy Roman Empire
Germany,Göttingen
Poole,Thomas Bell (zoologist)
Poole,Dorset
Muschelkalk,Middle Triassic
Muschelkalk,sedimentary rock
Muschelkalk,geology
Bundespräsidialamt,Berlin
Bundespräsidialamt,Bonn
England,Thomas Bell (zoologist)
England,Guy's Hospital
Atlas (anatomy),cervical vertebrae
Holy Roman Empire,August Batsch
Holy Roman Empire,Hermann Schlegel
Berlin,Bonn
August Batsch,Duchy of Saxe-Weimar
Constantine Samuel Rafinesque,Emydidae
Guy's Hospital,Thomas Bell (zoologist)
Emydidae,Black-knobbed map turtle
Emydidae,Thomas Bell (zoologist)
Emydidae,William John Swainson
Emydidae,Upper Cretaceous
John Edward Gray,Aldabra giant tortoise
Badnerlied,Baden-Württemberg
Dorset,Late Jurassic
sedimentary rock,geology
Late Jurassic,Ammonite
geologist,geology
Middle Triassic,turtle
Middle Triassic,Baden-Württemberg
Middle Triassic,Ammonite
genus,binomial nomenclature
genus,Black-knobbed map turtle
Hermann Schlegel,Aldabra giant tortoise
Turtle Taxonomy Working Group,turtle
Turtle Taxonomy Working Group,Aldabra giant tortoise
Chelodina,turtle
Black-knobbed map turtle,turtle
Thomas Bell (zoologist),Common box turtle
Thomas Bell (zoologist),Selborne
United States Geological Survey,geology
Common box turtle,turtle
